GeneID,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT1G05675,NA,NA,13677.173850949115,9.63601547284283,0.31390405658879844,2.468406766337819e-208,5.2572127309462866e-204
AT1G07135,NA,NA,7426.395802385405,6.959003805377847,0.23735189289815137,2.1072803675700718e-190,2.2440428634253694e-186
AT1G56240,AtPP2-B13,NA,22483.27272917487,10.47617900941323,0.3616441516756134,1.061428287615768e-185,7.535433223213542e-182
AT5G24110,ATWRKY30,member of WRKY Transcription Factor; Group III,11357.384508344074,10.629204747457084,0.380765610231802,1.9233764642449815e-172,1.0241017983872402e-168
AT5G57220,CYP81F2,"member of CYP81F, involved in glucosinolate metabolism. Mutants had impaired resistance to fungi.",19252.73408409529,8.207667546240499,0.31680907033796857,1.3178665422242127e-149,5.6135843232582565e-146
AT3G07195,NA,NA,12651.80476020544,7.096846743026408,0.27808147363680275,3.6327638340731846e-145,1.2895100689681784e-141
AT5G44070,ARA8,"Phytochelatin synthase gene confers tolerance to cadmium ions. Catalyzes phytochelatin (PC) synthesis from glutathione (GSH) in the presence of Cd2+, Zn2+, Cu2+ and Fe3+, but not by Co2+ or Ni2+.",24571.34776085055,5.833918224505339,0.2338058976004684,3.007308575525814e-138,9.149951148792682e-135
AT1G56250,AtPP2-B14,NA,13487.00983719832,11.96320090460902,0.5018670292320485,1.546741697686153e-126,4.11781308466496e-123
AT5G52750,NA,NA,2860.125321635307,7.77321522059594,0.33225501843004757,2.900881226107403e-122,6.864774261515051e-119
AT1G17147,NA,NA,2291.9455443974666,6.574414630537954,0.3031792352323416,1.0751546673740053e-105,2.2898644105731573e-102
AT2G39200,ATMLO12,"A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO6 belongs to the clade IV, with AtMLO2, AtMLO3 and AtMLO12. The gene is expressed during early seedling growth, in root tips and cotyledon vascular system, in floral organs (anthers and stigma), and in fruit abscission zone, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s).",25375.55894251212,5.510395042083322,0.25753834648863444,1.0049141865381534e-102,1.9456965768081448e-99
AT2G24600,NA,NA,11566.884023570645,6.687527287448398,0.31981145922916476,1.3954608881491264e-98,2.476710499650008e-95
AT2G40140,ATSZF2,NA,8533.301766424107,4.635642130827483,0.22199624004772797,3.382683609683786e-98,5.541876578388098e-95
AT3G48650,NA,NA,1469.2296602970762,7.723203703846321,0.37350725659658646,7.2283822079291885e-96,1.0996434590319704e-92
AT5G01100,FRB1,NA,4122.37782487668,6.666492783361179,0.3252174860201155,6.752345259553845e-95,9.587429955865186e-92
AT3G11840,PUB24,Encodes a U-box-domain-containing E3 ubiquitin ligase that acts as a negative regulator of PAMP-triggered immunity.,2706.7032112203224,6.372279440730201,0.3129651926716766,1.2056172538451137e-93,1.604827267024577e-90
AT5G59550,AtRDUF2,NA,3744.483282002344,4.479766913649044,0.22117081251259685,1.5005260428671944e-92,1.879894332999147e-89
AT1G26380,AtBBE3,NA,15177.93362343921,9.964390133422574,0.4951700973550919,1.0226954071383319e-91,1.2100759322906774e-88
AT5G05190,EDR4,NA,3859.756318213258,5.015443504956828,0.24981918730681427,4.8373388862465914e-91,5.422402294698942e-88
AT2G37940,AtIPCS2,I,8731.98041382273,4.903948665482805,0.2477706575792857,1.1538876243536972e-88,1.2287749311742522e-85
AT1G07160,NA,NA,3956.731748622085,10.460607869854792,0.5281528991703063,2.598004905379887e-87,2.6348718321324213e-84
AT4G24570,DIC2,"Encodes one of the mitochondrial dicarboxylate carriers (DIC): DIC1 (AT2G22500), DIC2 (AT4G24570), DIC3 (AT5G09470).",9190.865192397918,6.6162980552479755,0.3372174811129748,3.0189413755071713e-87,2.9226097007068974e-84
AT1G09940,HEMA2,Encodes glutamyl-tRNA reductase. Involved in heme biosynthesis in non-photosynthetic tissues and induced by oxidative stress in photosynthetic tissues to supply heme for defensive hemoproteins,11724.784750768273,4.774655733502058,0.2432178991161386,4.620908567715619e-87,4.278961333704664e-84
AT2G33710,NA,encodes a member of the ERF (ethylene response factor) subfamily B-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 7 members in this subfamily.,1923.6092516613708,5.450343148442187,0.2791397098505914,2.6543400337833673e-86,2.3555055849799225e-83
AT1G07000,ATEXO70B2,"A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree.",9597.719079083176,5.343687898432009,0.27553870012262704,2.841818768607829e-85,2.4210022453523812e-82
AT5G41740,NA,NA,3336.5017814805583,5.1688902228683675,0.2696629924643398,2.2964266801708917e-83,1.8811267474722942e-80
AT5G43420,ATL16,NA,1401.492864175086,6.2017244463549215,0.3232719828781907,3.2526366565426914e-83,2.565727981890601e-80
AT4G17490,ATERF6,"Encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-6). The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5.",4954.15946371427,5.123222960234995,0.2680484513266275,7.575252283450537e-83,5.76206154046177e-80
AT5G35735,NA,NA,25430.744405904716,6.9906337242057015,0.36834846587939835,5.611676051857689e-82,4.121292294912588e-79
AT3G55980,ATSZF1,NA,10489.499041396522,5.0190648858624405,0.2645734408711621,1.346941202720947e-81,9.562384578516908e-79
AT5G14700,NA,NA,2119.9140933967788,7.424769174336588,0.398318894857525,7.309364382896418e-79,5.0217691169976737e-76
AT1G74360,GRACE,NA,2646.389975443341,5.595913992180834,0.302655036435867,8.607267599364769e-78,5.555078343371844e-75
AT4G21390,B120,NA,2486.0037155539244,6.141714369035458,0.3321208624675895,8.578306227803705e-78,5.555078343371844e-75
AT3G55950,ATCRR3,NA,1930.5389674252376,4.921628961679675,0.2680182314728962,1.100380609744879e-76,6.892913595984243e-74
AT3G15518,NA,NA,2262.9855764852296,7.79051620762949,0.4282636058447797,1.9641779009018706e-75,1.195230312383087e-72
AT4G29780,NA,NA,4265.719936806631,5.283188866398606,0.29168199987327614,9.906653372004856e-75,5.860886208804429e-72
AT1G51700,ADOF1,Encodes dof zinc finger protein (adof1).,2495.135013657124,4.3552528077848995,0.24084875505981315,2.116360164313144e-74,1.2182226697173337e-71
AT5G27420,ATL31,"Encodes CNI1 (Carbon/Nitrogen Insensitive1) (also named as ATL31), a RING type ubiquitin ligase that functions in the Carbon/Nitrogen response for growth phase transition in Arabidopsis seedlings.",6619.889984314059,6.092990579946222,0.33969834015170414,2.3407920607113553e-73,1.3119523502376435e-70
AT5G41680,NA,NA,720.6334255540943,6.310443924430766,0.3526300648879698,1.280240395246298e-72,6.991425625116835e-70
AT2G47140,AtSDR5,NA,2412.532080425982,6.762518024475056,0.3792247338568343,1.4287637380951371e-72,7.607452523487559e-70
AT4G31550,ATWRKY11,member of WRKY Transcription Factor; Group II-d; negative regulator of basal resistance to Pseudomonas syringae.,17491.573903492346,4.632225525033676,0.25890375200322524,1.8066440662308656e-72,9.384854956728044e-70
AT3G25610,ALA10,NA,4338.403663096885,5.315747234917248,0.29947621050004325,6.393794454226243e-72,3.2422627210978694e-69
AT1G03370,NA,NA,6978.009452693254,4.087630804147099,0.2300767405395127,6.884176657603965e-72,3.4097487082244006e-69
AT5G28610,NA,NA,822.3144528087114,6.249372526849094,0.35620317329313733,4.364408109034184e-70,2.1125719069593195e-67
AT5G46080,NA,NA,1577.6031841269632,5.598202017228087,0.31982635277147214,4.7228411438695113e-70,2.2352682373807302e-67
AT3G47820,PUB39,NA,1684.7685515872222,4.282322542079477,0.24551087052407947,1.9643798337050323e-69,9.0950786300543e-67
AT3G02840,NA,NA,4704.350061677639,10.798211431622516,0.61669484185736545,3.3692383169135227e-69,1.5267667590132812e-66
AT4G14450,PH1,NA,1524.920081116028,8.073710823605463,0.4673617266545933,5.633900165503213e-68,2.499808452601822e-65
AT1G29690,CAD1,"Encodes a protein containing a domain with significant homology to the MACPF (membrane attack complex and perforin) domain of complements and perforin proteins that are involved in innate immunity in animals. Transgenic <i>cad1-1</i> mutant plants show lesions seen in the hypersensitive response, as well as a spontaneous activation of expression of pathogenesis-related genes and leading to a 32-fold increase in salicylic acid (SA). CAD1 is postulated to act as a negative regulator controlling SA-mediated pathway of programmed cell death in plant immunity.",4101.893988376272,4.072611853384518,0.23623855545025155,6.3440268293615774e-68,2.7023016682348577e-65
AT3G21070,ATNADK-1,Encodes a protein with NAD(H) kinase activity.,15320.931030698704,5.293200314215378,0.30725940701258736,6.219603658449367e-68,2.7023016682348577e-65
