"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.07198409838634e-109,1.63286369138818,0.353,0.16,5.70406007388376e-105,"0","Cygb"
6.23020292221912e-218,1.21545955703325,0.758,0.463,1.15682407859765e-213,"0","Tgfbi"
2.00813576552436e-37,1.04881344390167,0.296,0.184,3.72870648942564e-33,"0","Cyp26a1"
1.33011954453869e-35,1.02319621111835,0.267,0.164,2.46976597029944e-31,"0","Gpc4"
1.0128613363973e-69,1.0189165416157,0.487,0.316,1.8806809294225e-65,"0","Meox1"
1.24404438348847e-48,1.00479537423298,0.368,0.233,2.30994161126139e-44,"0","Vcam1"
6.5823303785717e-33,0.9999797887007,0.307,0.205,1.22220710469319e-28,"0","Ntrk2"
1.08654719783204e-69,0.930636854773525,0.467,0.298,2.01750083693454e-65,"0","Nrp1"
1.20302898105895e-48,0.911378237892374,0.415,0.28,2.23378421203026e-44,"0","Crym"
1.7653752434647e-125,0.851471812752329,0.859,0.715,3.27794875206526e-121,"0","Sfrp1"
0,4.57802722032922,0.302,0.022,0,"1","Cbr3"
0,3.97751321079276,0.355,0.047,0,"1","Vtn"
1.15324928820569e-271,3.569435158736,0.252,0.033,2.14135327834032e-267,"1","Foxl1"
0,2.94305966692739,0.726,0.218,0,"1","Cthrc1"
1.52138592855292e-212,2.89592781202985,0.257,0.049,2.82490939213707e-208,"1","Tspan17"
2.33556352518184e-255,2.88073380073383,0.297,0.054,4.33667435355764e-251,"1","Pltp"
0,2.83196724479485,0.789,0.255,0,"1","Sparcl1"
1.77682116483563e-271,2.70895851638439,0.352,0.076,3.2992015388668e-267,"1","Foxf2"
0,2.57876217769178,0.894,0.278,0,"1","Lum"
6.72341926292449e-185,2.50611551702418,0.284,0.071,1.24840448873982e-180,"1","Trib2"
1.10521453050952e-102,1.45084648474511,0.401,0.174,2.05216234025008e-98,"2","Cyp26a1"
2.49831238850626e-111,1.33492541322009,0.43,0.179,4.63886644297843e-107,"2","Foxd2"
1.35893547153692e-197,1.32531542435933,0.778,0.445,2.52327138354974e-193,"2","Nusap1"
1.67452042722751e-169,1.3054228946972,0.681,0.358,3.10924952927605e-165,"2","Cdca2"
9.02349505668612e-198,1.29895736742903,0.747,0.389,1.67548256212548e-193,"2","Prc1"
1.81455184412364e-86,1.29340920003536,0.333,0.134,3.36925986416877e-82,"2","Pappa"
7.1540034605293e-52,1.24494835709408,0.314,0.163,1.32835536255108e-47,"2","Gm3550"
2.24451050339926e-85,1.20868964133173,0.457,0.238,4.16760710271174e-81,"2","Cenpl"
1.39734002913058e-56,1.18276272862881,0.312,0.154,2.59458096608966e-52,"2","Kif18a"
1.55205132794646e-154,1.18194759406627,0.73,0.424,2.88184890573099e-150,"2","Mis18bp1"
0,4.99926104579102,0.364,0.019,0,"3","Wfdc1"
0,4.69290828406558,0.349,0.018,0,"3","Gdf10"
0,3.54438649523034,0.673,0.108,0,"3","Msx1"
2.77534401982601e-257,3.41540363941013,0.391,0.079,5.15325877601294e-253,"3","Zic1"
1.05069500480632e-266,3.40085160056626,0.256,0.026,1.95093048492437e-262,"3","Notum"
2.38393527375075e-190,2.70722173276975,0.275,0.047,4.42649101630039e-186,"3","Itga8"
2.12370583284434e-221,2.56620583214863,0.347,0.066,3.94329699042536e-217,"3","Dkk1"
1.99650882041741e-236,2.5054635536291,0.433,0.098,3.70711757775105e-232,"3","Ptx3"
2.27823482574808e-290,2.49661514046887,0.427,0.078,4.23022642444903e-286,"3","Msx2"
2.90114566412325e-304,2.48507574356743,0.642,0.197,5.38684726914405e-300,"3","Igf1"
0,6.59955833654399,0.585,0.014,0,"4","Msc"
0,5.65349261030487,0.527,0.024,0,"4","Lhx2"
0,5.6491599247684,0.619,0.025,0,"4","Hlx"
0,4.62836839267445,0.319,0.016,0,"4","Kcnj12"
0,4.53582790027379,0.273,0.015,0,"4","Uncx"
0,4.06947398312207,0.592,0.055,0,"4","Fabp3"
0,3.83858480413077,0.461,0.051,0,"4","Pitx2"
9.25806371695094e-243,3.81124478264123,0.253,0.023,1.71903727096345e-238,"4","Plcxd3"
1.48170941493432e-247,3.64381784230504,0.25,0.021,2.75123804165004e-243,"4","Rxrg"
4.25035677458052e-164,3.55366872834551,0.283,0.048,7.89206245904112e-160,"4","Tlx1"
0,8.85863917403707,0.575,0.01,0,"5","Vgll2"
0,7.64297001826336,0.277,0.002,0,"5","Cldn8"
0,7.54599804351178,0.638,0.006,0,"5","Plet1"
0,7.12774049920204,0.333,0.004,0,"5","4631405K08Rik"
0,7.11370698047067,0.543,0.007,0,"5","Krt7"
0,7.11225456478664,0.396,0.008,0,"5","Foxi2"
0,7.07871767415293,0.456,0.01,0,"5","Pax1"
0,7.06115602938067,0.702,0.009,0,"5","Cldn4"
0,6.99931798349634,0.604,0.006,0,"5","Crb3"
0,6.8923623219176,0.509,0.005,0,"5","Kdf1"
1.27880609243969e-224,3.54274217434038,0.326,0.041,2.37448715244202e-220,"6","Syt12"
2.99791849868876e-200,3.33215170147001,0.319,0.044,5.56653506836529e-196,"6","Grem1"
0,3.24417722763362,0.522,0.064,0,"6","Hoxb1"
1.0320989912436e-178,3.17817771128875,0.336,0.055,1.91640140694112e-174,"6","Nrg1"
1.22121014867873e-135,3.13831656707316,0.504,0.167,2.26754300406667e-131,"6","Pcp4"
0,3.06419388644949,0.897,0.253,0,"6","Arg1"
8.05523685562886e-169,3.03770727970786,0.255,0.032,1.49569637935317e-164,"6","Pax8"
1.13053244829046e-152,3.03101355871556,0.267,0.04,2.09917264998572e-148,"6","Hoxb3"
4.52018784733684e-144,2.64748545761379,0.325,0.062,8.39308479493504e-140,"6","Prdm1"
7.02104943026066e-93,2.48886015910586,0.267,0.062,1.3036684582108e-88,"6","Bdnf"
8.89444720228899e-238,4.43584431133498,0.259,0.019,1.65152095652102e-233,"7","Ppp2r2b"
0,4.42822429395459,0.438,0.026,0,"7","Tnc"
0,4.40034583816525,0.801,0.05,0,"7","Hand2"
5.39773312684893e-278,4.31607132711272,0.295,0.021,1.00225108699331e-273,"7","Lrrn4"
0,4.31326964687567,0.498,0.031,0,"7","5033428I22Rik"
0,4.0472977362735,0.498,0.041,0,"7","Alx1"
0,3.99968860640808,0.502,0.049,0,"7","Rgs5"
0,3.92269705688657,0.564,0.045,0,"7","Mtus2"
0,3.85107940231963,0.512,0.034,0,"7","Gata5"
0,3.8383386179679,0.695,0.101,0,"7","3632451O06Rik"
0,9.72455795318681,0.524,0.001,0,"8","Myct1"
0,9.70999145363401,0.959,0.015,0,"8","Cldn5"
0,9.63780065362329,0.829,0.004,0,"8","Cdh5"
0,9.59412594626405,0.909,0.005,0,"8","Icam2"
0,9.59298402935322,0.64,0.003,0,"8","Clec1b"
0,9.35554127636208,0.943,0.007,0,"8","Esam"
0,9.31933186084049,0.577,0.001,0,"8","Mmrn1"
0,9.23230691141908,0.341,0.001,0,"8","Ctla2b"
0,9.18724775291873,0.394,0.002,0,"8","Prl3b1"
0,9.17949699664737,0.738,0.006,0,"8","Ctla2a"
0,7.53719339472945,0.617,0.005,0,"9","Aldh1a2"
0,6.54862460721101,0.438,0.005,0,"9","Tbx5"
0,5.90515727557327,0.851,0.034,0,"9","Foxf1"
0,5.55951140121975,0.371,0.015,0,"9","Wnt2"
0,5.18054541527419,0.815,0.053,0,"9","Osr1"
0,4.99401785285687,0.383,0.018,0,"9","Apela"
2.12477620742492e-290,4.87793165104153,0.319,0.014,3.94528446194659e-286,"9","Tdrd12"
9.35368957655868e-193,4.2494418389691,0.337,0.028,1.73679308057542e-188,"9","Dock9"
2.99853444213823e-177,3.93429188662226,0.304,0.024,5.56767875216227e-173,"9","1010001N08Rik"
1.31913352766988e-256,3.52716422938071,0.638,0.082,2.44936713417743e-252,"9","Gata6"
0,10.8409559642548,0.624,0.001,0,"10","Neurod4"
0,10.4176382606225,0.567,0.003,0,"10","Tlx2"
0,10.3511209600471,0.275,0,0,"10","St18"
0,10.0891877057524,0.949,0.007,0,"10","Neurod1"
0,10.0382709166285,0.427,0.001,0,"10","Chrna3"
0,9.96764448904888,0.354,0.002,0,"10","Tlx3"
0,9.64035599644369,0.371,0,0,"10","Nhlh1"
0,9.51732512211644,0.41,0.001,0,"10","Clvs1"
0,9.24621810840126,0.562,0.004,0,"10","Phox2b"
0,9.12858649876301,0.281,0.001,0,"10","Gsg1l"
0,11.8462814724322,0.532,0.001,0,"11","Tdgf1"
0,10.7947346364748,0.654,0.001,0,"11","Atcayos"
0,9.95535896709461,0.808,0.017,0,"11","Myl3"
0,9.87919658106266,0.821,0.003,0,"11","Mhrt"
0,9.84866566666563,0.455,0.005,0,"11","Acta1"
0,9.61560867163871,0.603,0.002,0,"11","Actn2"
0,9.51910037271988,0.59,0.004,0,"11","Myh6"
0,9.43710236401157,0.468,0.006,0,"11","Myl2"
0,9.31988743792443,0.558,0.002,0,"11","Ldb3"
0,9.28815431697787,0.724,0.005,0,"11","Mybpc3"
0,10.1441890552976,0.559,0.001,0,"12","Rfx4"
0,9.34294581299699,0.48,0.003,0,"12","Msx3"
0,7.76568851589192,0.529,0.005,0,"12","Mir124-2hg"
0,7.52218686979539,0.657,0.015,0,"12","Hes5"
3.18084148050545e-272,7.43261729881786,0.265,0.003,5.90618646100253e-268,"12","Fam181a"
0,6.98249102321607,0.402,0.006,0,"12","Pou3f2"
3.56682858175486e-181,6.28177530517593,0.686,0.051,6.62288731060243e-177,"12","Fabp7"
0,6.22283920379891,0.402,0.007,0,"12","Pax3"
1.23493179946611e-181,5.97519268323912,0.284,0.007,2.29302136524866e-177,"12","Pcdh8"
2.30473652659773e-124,5.1105871155731,0.471,0.034,4.27943478258667e-120,"12","Pax6"
0,7.96349676609929,0.528,0.004,0,"13","Lmx1a"
0,7.93809268249556,0.653,0.004,0,"13","Hmx2"
0,7.90573463207354,0.361,0.002,0,"13","Plekhb1"
0,7.84187820010621,0.417,0.003,0,"13","Hmx3"
0,7.83979457886386,0.722,0.004,0,"13","Sox10"
0,7.42671003706456,0.319,0.002,0,"13","Slitrk6"
0,6.98698930705856,0.736,0.012,0,"13","Dlx5"
1.1079159461497e-144,6.3032644593398,0.444,0.018,2.05717832881076e-140,"13","Spp1"
0,6.2194383935587,0.486,0.007,0,"13","Fbxo44"
4.82546056505e-174,5.94699063966281,0.292,0.006,8.95991517718484e-170,"13","Misp"
